date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:40:41	107609/107609	---M--	200	added ('OK')	image/jpeg	etag:%225b6b3841-1a459%22	https://ip.tv.br/_appdata/img/aab3238922bcc25a6f606eb525ffdc56/09ec4970f13e95070b1caebd2d2c126e.jpg	C:/Users/welder/Documents/Neves/Neves/ip.tv.br/_appdata/img/aab3238922bcc25a6f606eb525ffdc56/09ec4970f13e95070b1caebd2d2c126e.jpg	(from https://ip.tv.br/)
10:40:41	1232/1232	---MCZ	403	error ('Forbidden')	text/html	etag:W/%224d0-572f090347d4a%22	https://ip.tv.br/_appdata/img/aab3238922bcc25a6f606eb525ffdc56/	C:/Users/welder/Documents/Neves/Neves/ip.tv.br/_appdata/img/aab3238922bcc25a6f606eb525ffdc56/index.html	(from https://ip.tv.br/)
10:40:47	420588/420588	---M--	200	added ('OK')	image/png	etag:%225b6b385d-66aec%22	https://ip.tv.br/_appdata/img/aab3238922bcc25a6f606eb525ffdc56/de45d7058fef4c4936bf619d13bc7009.png	C:/Users/welder/Documents/Neves/Neves/ip.tv.br/_appdata/img/aab3238922bcc25a6f606eb525ffdc56/de45d7058fef4c4936bf619d13bc7009.png	(from https://ip.tv.br/)
10:40:47	269257/269257	---M--	200	added ('OK')	image/png	etag:%225b6b384a-41bc9%22	https://ip.tv.br/_appdata/img/aab3238922bcc25a6f606eb525ffdc56/614e0f13c4187139a05607e833a47687.png	C:/Users/welder/Documents/Neves/Neves/ip.tv.br/_appdata/img/aab3238922bcc25a6f606eb525ffdc56/614e0f13c4187139a05607e833a47687.png	(from https://ip.tv.br/)
10:40:51	239716/239716	---M--	200	added ('OK')	image/jpeg	etag:%225b6b382b-3a864%22	https://www.ip.tv.br/_appdata/img/801ac9fc00525791fd2a48310a07f57d/watching.jpg	C:/Users/welder/Documents/Neves/Neves/www.ip.tv.br/_appdata/img/801ac9fc00525791fd2a48310a07f57d/watching.jpg	(from https://ip.tv.br/)
10:40:51	8340/8340	---M--	200	added ('OK')	image/png	etag:%225ad509ff-2094%22	https://www2.ip.tv.br/img/sinal.png	C:/Users/welder/Documents/Neves/Neves/www2.ip.tv.br/img/sinal.png	(from https://ip.tv.br/)
10:40:51	7330/7330	---M--	200	added ('OK')	image/png	etag:%225ad509f8-1ca2%22	https://www2.ip.tv.br/img/atualizacao.png	C:/Users/welder/Documents/Neves/Neves/www2.ip.tv.br/img/atualizacao.png	(from https://ip.tv.br/)
10:40:52	6053/6053	---M--	200	added ('OK')	image/png	etag:%225ad50a01-17a5%22	https://www2.ip.tv.br/img/suporte.png	C:/Users/welder/Documents/Neves/Neves/www2.ip.tv.br/img/suporte.png	(from https://ip.tv.br/)
10:40:52	1815498/1815498	---M--	200	added ('OK')	image/png	etag:%225b6b3870-1bb3ca%22	https://ip.tv.br/_appdata/img/aab3238922bcc25a6f606eb525ffdc56/c16c0b90f2c4c0584650eae2cbeedc76.png	C:/Users/welder/Documents/Neves/Neves/ip.tv.br/_appdata/img/aab3238922bcc25a6f606eb525ffdc56/c16c0b90f2c4c0584650eae2cbeedc76.png	(from https://ip.tv.br/)
10:40:52	7156/7156	---M--	200	added ('OK')	image/png	etag:%225ad509fd-1bf4%22	https://www2.ip.tv.br/img/preco.png	C:/Users/welder/Documents/Neves/Neves/www2.ip.tv.br/img/preco.png	(from https://ip.tv.br/)
10:40:52	2385/2385	---M--	200	added ('OK')	image/png	etag:%225ad509f9-951%22	https://www2.ip.tv.br/img/canais.png	C:/Users/welder/Documents/Neves/Neves/www2.ip.tv.br/img/canais.png	(from https://ip.tv.br/)
